DATE,T2M1,T2M,T2M_MIN,QV2M,PRECTOTCORR,PS,WS10M_MAX,WS10M_MIN,WS10M
01-01-2000,21.71,32.25,12.9,3.11,0,100.73,5.01,0.32,2.83
02-01-2000,22.16,32.3,13.94,3.66,0,100.82,4.92,0.59,3.05
03-01-2000,21.8,31.86,13.7,3.42,0,100.76,4.01,0.6,2.76
04-01-2000,21.77,31.87,13.37,3.05,0,100.73,4.15,0.23,2.51
05-01-2000,21.11,31.29,13.52,2.62,0,100.84,4.8,1.31,3.02
06-01-2000,21,31.48,11.49,2.2,0,100.9,4.51,0.14,2.55
07-01-2000,22.05,32.46,12.79,2.14,0,100.83,4.99,0.23,2.53
08-01-2000,22.31,33.26,12.92,2.32,0,100.72,3.35,0.95,2.4
09-01-2000,22.62,33.88,13.83,3.3,0,100.64,3.69,1.8,2.77
10-01-2000,23.37,33.51,13.94,4.58,0,100.53,3.95,0.22,2.25
11-01-2000,22.87,32.91,14.82,5.13,0,100.47,4.83,1.43,2.9
12-01-2000,21.17,29.68,13.38,7.63,0,100.56,3.96,2.23,2.79
13-01-2000,20.12,28.62,13.97,6.04,0,100.76,6.01,2.62,3.99
14-01-2000,17.05,26.69,9.21,1.22,0,100.77,4.16,2.95,3.55
15-01-2000,15.89,26.65,7.48,0.85,0,100.86,5.09,3.02,3.91
16-01-2000,15.94,27.4,6.07,1.28,0,101,6.91,3.4,4.73
17-01-2000,19.49,30.57,10.49,1.89,0,101.04,8.04,3.23,5.73
18-01-2000,22.26,33.77,13.39,3.23,0,101.07,5.3,1.84,3.86
19-01-2000,22.19,33.19,14.33,3.17,0,101.02,7.17,1.45,3.81
20-01-2000,21.66,32.44,13.1,2.62,0,100.69,4.41,1.16,3.12
21-01-2000,21.57,31.68,12.6,8.36,0,100.67,4.78,1.48,3.12
22-01-2000,22.97,30.9,15.37,8.67,0,100.76,4.52,1.31,2.73
23-01-2000,22.92,31.36,14.95,5.8,0,100.82,3.2,1.31,2.07
24-01-2000,22.74,32.28,13.79,3.78,0,100.9,3.45,0.64,2.09
25-01-2000,23.3,33.64,14.55,4.21,0,100.89,3.73,1.02,2.93
26-01-2000,22.94,32.64,14.73,4.88,0,100.91,4.93,0.09,2.82
27-01-2000,21.01,29.89,13.9,3.91,0,101.09,6.16,2.84,4.84
28-01-2000,19.2,29.63,11.48,2.08,0,101.25,8.24,3.18,5.15
29-01-2000,19.83,30.94,9.8,1.65,0,101.23,5.98,1.35,3.71
