DATE,PS,WS10M,WS10M_MAX,WS10M_MIN,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WD50M,QV2M,PRECTOTCORR,T2M1,T2MDEW,T2MWET,TS,T2M,T2M_MIN
01-01-2000,100,3.21,5.71,0.38,140.44,4.89,8.25,0.35,136.88,9.03,0,23.31,12.22,17.76,23.31,32.23,16.11
02-01-2000,100.09,3.78,7.09,0.14,145.25,5.81,9.92,0.48,142.5,8.3,0,23.13,10.9,17.01,23.26,32.05,16.43
03-01-2000,100.02,3.62,6.87,0.55,163.06,5.64,9.59,0.73,165,7.45,0,22.48,9.09,15.78,22.72,32.2,15.26
04-01-2000,99.98,3.55,6.81,0.75,164.56,5.41,9.84,0.64,163.25,7.26,0,22.51,8.78,15.65,22.62,32.46,15.23
05-01-2000,100,3.35,6.91,0.62,155.19,5.02,9.84,0.32,154.88,6.9,0,22.14,8.08,15.11,21.83,31.99,15.53
06-01-2000,100.07,4.07,6.9,1.25,140.62,6.29,10.22,1.63,126.75,6.16,0,22.15,6.37,14.26,22.17,32.44,14.79
07-01-2000,100.06,4.38,7.78,0.53,135.81,6.35,10.61,0.84,136.62,5.8,0,22.1,5.23,13.66,21.96,32.24,14.37
08-01-2000,100,3.63,6.98,0.58,141.25,5.64,10.23,0.9,144.25,6.04,0,22.24,5.65,13.94,22.21,33.22,14.15
09-01-2000,99.94,3.45,6.54,1,150.5,5.19,10.07,1.09,148.12,7.02,0,23.18,8.08,15.63,22.81,34.1,14.85
10-01-2000,99.9,2.8,4.68,1.05,155.38,4.31,7.02,1.45,151.31,7.63,0,23.51,9.27,16.39,23.57,33.75,15.75
11-01-2000,99.88,2.88,4.35,1.07,176.81,4.3,7.09,1.47,173.62,9.28,0,23.9,12.52,18.21,24.4,33.83,16.7
12-01-2000,99.99,3.07,5.59,2.08,175.25,4.19,6.43,2.77,176.5,11.78,0,22.94,16.45,19.7,23.91,30.66,18.28
13-01-2000,100.05,3.31,4.85,2.08,153.19,4.84,7.42,3.24,154.12,10.56,0,22.23,14.79,18.51,23.22,30.93,15.58
14-01-2000,99.95,3.33,4.51,2.77,191.88,4.82,6.76,3.01,177.69,8.06,0,21.6,10.59,16.1,22.33,30.47,15.32
15-01-2000,100.05,3.4,4.54,2.71,162.5,5.01,7.51,3.16,163,5.49,0,20.15,4.59,12.37,20.73,29.09,13.87
16-01-2000,100.07,2.91,3.72,0.74,152.31,4.35,7.01,0.39,149.19,6.65,0,20.76,7.06,13.91,21.75,30.65,12.3
17-01-2000,100.07,3.09,5.1,1.77,148.44,4.54,7.26,2.5,146.44,10.31,0,25.19,14.35,19.77,25.57,35.55,17.77
18-01-2000,100.23,3.73,7.35,0.85,159.81,5.75,10.02,0.58,158.69,9.83,0,26.43,13.62,20.02,26.84,36.23,20.24
19-01-2000,100.24,3.66,5.8,2.37,166.06,5.45,8.79,2.87,166.5,9.58,0,26.37,13.34,19.85,26.52,35.52,20.37
20-01-2000,100.09,3.24,5.09,2.23,199.88,4.5,6.38,3.15,200.25,7.87,0,24.39,10.19,17.3,24.35,33.53,17.87
21-01-2000,100.15,2.41,3.72,1.57,190.62,3.11,4.66,2.2,190.5,9.46,0,22.92,12.98,17.95,23.11,30.76,17.23
22-01-2000,100.22,3.2,5.56,1.83,195.38,4.33,6.53,2.61,196.06,9.7,0,22.3,13.55,17.92,23,30.82,15.83
23-01-2000,100.19,3.36,5.13,1.91,166.06,4.77,8.16,2.79,152.5,9.7,0,22.98,13.46,18.23,23.8,31.48,16.38
24-01-2000,100.19,3.2,4.07,1.44,153.56,5.09,7.68,1.69,156.19,8.85,0,23.98,11.87,17.93,24.94,33.74,16.52
25-01-2000,100.18,3.17,5.3,0.65,156.25,4.77,7.39,0.62,154.69,7.26,0,24.27,8.65,16.47,24.9,35.22,16.14
26-01-2000,100.23,2.98,4.2,0.68,148.5,4.55,7.02,0.37,150.56,7.87,0,24.2,10.06,17.13,25.17,34.11,17.08
27-01-2000,100.16,3.15,4.55,0.64,159.31,4.92,7.9,0.74,157.38,7.51,0,24.25,9.48,16.86,25.4,34.42,16.32
28-01-2000,100.15,3.48,6.73,0.73,124,5.41,8.97,1.16,111.81,7.32,0,25.44,8.96,17.2,26.37,35.58,17.4
29-01-2000,100.3,3.98,6.45,0.2,158.31,5.98,8.94,0.59,160.62,6.9,0,25.4,8.25,16.83,26.73,35.26,17.79
30-01-2000,100.33,3.48,5.84,0.66,180.94,5.51,8.69,0.75,169.44,5.98,0,25.35,6.01,15.68,26.42,35.83,17.6
31-01-2000,100.3,2.91,4.5,0.69,181.25,4.06,6,0.81,182.12,6.9,0,24.45,7.31,15.88,25.42,34.12,17.04
01-02-2000,100.13,2.5,4.38,0.66,213.69,3.23,4.59,0.83,212.75,11.72,0,22.66,16.37,19.51,24.45,30.28,17.06
